Wall time,Step,Value
1743551015.098413,13049856,-114.5788345336914
1743551023.7937589,13070336,-110.92059326171875
1743551032.4638941,13090816,-111.71937561035156
1743551041.169028,13111296,-111.05939483642578
1743551049.948512,13131776,-108.81204223632812
1743551058.6153889,13152256,-111.37151336669922
1743551067.3861802,13172736,-113.71150970458984
1743551076.189567,13193216,-116.64430236816406
1743551085.6658392,13213696,-119.0450439453125
1743551095.14182,13234176,-116.58500671386719
1743551104.724448,13254656,-117.92201232910156
1743551114.122169,13275136,-114.54728698730469
1743551123.718571,13295616,-112.81669616699219
1743551133.2580411,13316096,-112.98634338378906
1743551142.8707042,13336576,-113.93436431884766
1743551152.38996,13357056,-111.60590362548828
1743551161.9711459,13377536,-109.6650161743164
1743551171.455155,13398016,-106.70188903808594
1743551180.96243,13418496,-109.79840087890625
1743551190.494705,13438976,-111.4307632446289
1743551199.812095,13459456,-116.14448547363281
1743551209.333395,13479936,-117.15953063964844
1743551218.781186,13500416,-114.04058837890625
1743551228.272474,13520896,-114.21435546875
1743551237.677599,13541376,-113.14644622802734
1743551247.147073,13561856,-112.29146575927734
