V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.36,0.013,13,284,92,218,220,,0.12,0.25,0.63,
0.36,0.015,14,92,239,87,47,,0.42,0.07,0.51,
0.37,0.013,15,239,92,114,,,0.95,0.05,,
0.36,0.015,16,92,,,,,,,,
0.39,0.013,16,114,,,,,,,,
0.41,0.015,15,87,90,43,205,,0.32,0.23,0.45,
0.44,0.014,16,90,,,,,,,,
0.42,0.017,16,43,,,,,,,,
0.46,0.017,16,205,,,,,,,,
0.42,0.016,15,47,45,202,,,0.53,0.47,,
0.45,0.017,16,45,,,,,,,,
0.46,0.015,16,202,,,,,,,,
0.34,0.012,14,218,304,,,,1.0,,,
0.38,0.01,15,304,322,,,,1.0,,,
0.33,0.008,16,322,,,,,,,,
0.4,0.013,14,220,79,303,,,0.28,0.72,,
0.36,0.014,15,79,34,244,323,,0.27,0.46,0.27,
0.41,0.016,16,34,,,,,,,,
0.42,0.012,16,244,,,,,,,,
0.36,0.012,16,323,,,,,,,,
0.43,0.012,15,303,324,325,240,,0.73,0.02,0.26,
0.4,0.011,16,324,,,,,,,,
0.49,0.012,16,325,,,,,,,,
0.45,0.011,16,240,,,,,,,,
0.45,0.016,13,110,129,326,327,,0.0,0.4,0.59,
0.42,0.019,14,129,23,194,191,,0.04,0.47,0.49,
0.39,0.02,15,23,139,24,328,,0.42,0.3,0.29,
0.39,0.018,16,139,,,,,,,,
0.44,0.019,16,24,,,,,,,,
0.39,0.019,16,328,,,,,,,,
0.38,0.02,15,194,210,,,,1.0,,,
0.44,0.02,16,210,,,,,,,,
0.41,0.017,15,191,51,,,,1.0,,,
0.43,0.017,16,51,,,,,,,,
0.5,0.018,14,326,329,330,331,,0.46,0.38,0.16,
0.44,0.017,15,329,32,,,,1.0,,,
